,cell,uniq_frags,frip,frac_open,mapping_rate,sequencing_depth,dup_level,mt_content,library_size,plate,celltype,TREATMENT
15,Immunodeficiency7827673,32322.0,0.784988,0.241679,94.93,319530,0.881912,0.018344,32934,,USM B-cells,CONTROL
16,Immunodeficiency7827674,11032.0,0.710596,0.10609500000000001,95.36,50050,0.706254,0.086755,12603,,SM B-cells,CONTROL
17,Immunodeficiency7827675,56455.0,0.7580020000000001,0.331864,95.08,639504,0.89518,0.012576,57179,,SM B-cells,CVID
18,Immunodeficiency7827676,19197.0,0.732744,0.161468,94.97,122893,0.808632,0.057585000000000004,20501,,SM B-cells,CONTROL
19,Immunodeficiency7827677,14603.0,0.800523,0.143547,94.99,86183,0.793373,0.056837,15629,,SM B-cells,CVID
20,Immunodeficiency7827678,23596.0,0.819449,0.198098,95.08,203387,0.8584950000000001,0.042526,24669,,SM B-cells,CONTROL
21,Immunodeficiency7827679,57748.0,0.750454,0.330979,94.9,592294,0.8848229999999999,0.019542,58911,,SM B-cells,CVID
22,Immunodeficiency7827680,44481.0,0.764497,0.291871,94.91,437317,0.8786,0.009089,44904,,SM B-cells,CONTROL
23,Immunodeficiency7827681,47464.0,0.757533,0.297116,94.74,447670,0.876826,0.010197,47971,,SM B-cells,CVID
24,Immunodeficiency7827682,12398.0,0.675747,0.111259,94.78,33614,0.533594,0.064443,16114,,SM B-cells,CONTROL
25,Immunodeficiency7827683,37092.0,0.768292,0.250076,93.91,367548,0.880818,0.015631,37692,,SM B-cells,CVID
26,Immunodeficiency7827684,27674.0,0.81081,0.22054,94.91,245367,0.864864,0.042058,28911,,SM B-cells,CONTROL
27,Immunodeficiency7827685,47963.0,0.778643,0.314812,95.09,510276,0.8878309999999999,0.040625,50002,,SM B-cells,CVID
28,Immunodeficiency7827686,43469.0,0.787932,0.285661,95.03,455083,0.885075,0.033356,44978,,SM B-cells,CONTROL
29,Immunodeficiency7827687,13320.0,0.7986409999999999,0.13317,94.45,62575,0.7363109999999999,0.036946,14223,,SM B-cells,CVID
30,Immunodeficiency7827688,25211.0,0.698082,0.191841,95.03,235441,0.871559,0.029001999999999997,25977,,SM B-cells,CONTROL
31,Immunodeficiency7827689,35874.0,0.773308,0.257203,95.19,352422,0.8795940000000001,0.015694,36457,,SM B-cells,CVID
32,Immunodeficiency7827690,27195.0,0.794134,0.221296,95.27,286008,0.8857940000000001,0.041349000000000004,28373,,SM B-cells,CONTROL
33,Immunodeficiency7827691,40523.0,0.7787890000000001,0.274465,95.56,449405,0.895049,0.029644999999999998,41765,,USM B-cells,CONTROL
34,Immunodeficiency7827692,32565.0,0.747267,0.240521,95.1,309041,0.8770600000000001,0.022012999999999998,33310,,SM B-cells,CONTROL
35,Immunodeficiency7827693,26378.0,0.714126,0.20183099999999998,95.24,258266,0.8773350000000001,0.048001,27718,,USM B-cells,CONTROL
36,Immunodeficiency7827694,28276.0,0.817068,0.225543,95.57,302918,0.885287,0.05368099999999999,29886,,SM B-cells,CONTROL
37,Immunodeficiency7827695,27385.0,0.787502,0.218288,95.09,265829,0.875994,0.04532,28696,,USM B-cells,CONTROL
38,Immunodeficiency7827696,22494.0,0.782504,0.189926,95.34,182693,0.855234,0.016613,22902,,SM B-cells,CONTROL
39,Immunodeficiency7827697,39090.0,0.709916,0.259021,94.79,409427,0.886928,0.034575999999999996,40497,,USM B-cells,CONTROL
40,Immunodeficiency7827698,29936.0,0.755083,0.22333899999999998,95.2,288823,0.878697,0.024631999999999998,30702,,SM B-cells,CONTROL
41,Immunodeficiency7827699,24526.0,0.81799,0.202957,95.28,239057,0.8743489999999999,0.066601,26287,,USM B-cells,CONTROL
42,Immunodeficiency7827700,18909.0,0.5943930000000001,0.135519,94.46,151952,0.853417,0.022791,19377,,SM B-cells,CONTROL
43,Immunodeficiency7827701,34520.0,0.801475,0.252248,95.57,344123,0.885991,0.009526,34858,,USM B-cells,CONTROL
44,Immunodeficiency7827702,34381.0,0.822119,0.253085,95.6,367915,0.888237,0.038105,35748,,SM B-cells,CONTROL
45,Immunodeficiency7827703,33371.0,0.810099,0.241454,95.3,319866,0.8777149999999999,0.026772000000000004,34300,,USM B-cells,CONTROL
46,Immunodeficiency7827704,22718.0,0.7723899999999999,0.183089,95.54,231457,0.87987,0.053653,24013,,SM B-cells,CONTROL
47,Immunodeficiency7827705,30289.0,0.818916,0.23226799999999997,95.92,301862,0.881425,0.044451,31706,,USM B-cells,CONTROL
48,Immunodeficiency7827706,23526.0,0.730777,0.192581,94.96,230877,0.872815,0.082664,25658,,SM B-cells,CONTROL
49,Immunodeficiency7827707,54536.0,0.7431770000000001,0.324882,95.15,605946,0.8962040000000001,0.006449,54894,,SM B-cells,CVID
50,Immunodeficiency7827708,41296.0,0.7507689999999999,0.276717,95.13,391741,0.874114,0.02332,42300,,SM B-cells,CONTROL
51,Immunodeficiency7827709,44240.0,0.77268,0.282508,95.59,451487,0.887076,0.011970999999999999,44784,,SM B-cells,CVID
